Category: All categories

Week,All I Want for Christmas Is You: (Worldwide)
2018-12-23,22
2018-12-30,1
2019-01-06,<1
2019-01-13,<1
2019-01-20,<1
2019-01-27,<1
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,<1
2019-03-03,<1
2019-03-10,<1
2019-03-17,<1
2019-03-24,<1
2019-03-31,<1
2019-04-07,<1
2019-04-14,<1
2019-04-21,<1
2019-04-28,<1
2019-05-05,<1
2019-05-12,<1
2019-05-19,<1
2019-05-26,<1
2019-06-02,<1
2019-06-09,<1
2019-06-16,<1
2019-06-23,<1
2019-06-30,<1
2019-07-07,<1
2019-07-14,<1
2019-07-21,<1
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,<1
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,7
2019-11-03,14
2019-11-10,18
2019-11-17,25
2019-11-24,31
2019-12-01,49
2019-12-08,54
2019-12-15,80
2019-12-22,100
2019-12-29,17
2020-01-05,7
2020-01-12,4
2020-01-19,3
2020-01-26,2
2020-02-02,3
2020-02-09,2
2020-02-16,2
2020-02-23,2
2020-03-01,2
2020-03-08,2
2020-03-15,2
2020-03-22,1
2020-03-29,1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,2
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,2
2020-06-14,2
2020-06-21,1
2020-06-28,1
2020-07-05,2
2020-07-12,2
2020-07-19,2
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,4
2020-09-27,5
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,8
2020-11-01,17
2020-11-08,19
2020-11-15,24
2020-11-22,31
2020-11-29,51
2020-12-06,58
2020-12-13,64
2020-12-20,100
2020-12-27,20
2021-01-03,6
2021-01-10,4
2021-01-17,2
2021-01-24,2
2021-01-31,2
2021-02-07,2
2021-02-14,2
2021-02-21,2
2021-02-28,2
2021-03-07,2
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,2
2021-08-22,2
2021-08-29,3
2021-09-05,2
2021-09-12,2
2021-09-19,3
2021-09-26,3
2021-10-03,3
2021-10-10,4
2021-10-17,5
2021-10-24,6
2021-10-31,18
2021-11-07,19
2021-11-14,21
2021-11-21,28
2021-11-28,42
2021-12-05,49
2021-12-12,54
2021-12-19,84
2021-12-26,24
2022-01-02,7
2022-01-09,3
2022-01-16,2
2022-01-23,2
2022-01-30,2
2022-02-06,2
2022-02-13,1
2022-02-20,2
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,2
2022-06-05,2
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,2
2022-07-31,1
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,5
2022-10-23,6
2022-10-30,19
2022-11-06,21
2022-11-13,27
2022-11-20,33
2022-11-27,48
2022-12-04,58
2022-12-11,62
2022-12-18,78
2022-12-25,42
2023-01-01,7
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,1
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,1
2023-05-21,2
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,3
2023-09-03,4
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,4
2023-10-08,4
2023-10-15,5
2023-10-22,5
2023-10-29,16
2023-11-05,20
2023-11-12,23
2023-11-19,29
2023-11-26,42
2023-12-03,50
2023-12-10,51
