Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
649,Ernest Van Dijckkaai,2022-08-22,00:00:00,46,13,33,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,01:00:00,23,7,16,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,02:00:00,21,5,16,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,03:00:00,24,6,18,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,04:00:00,60,41,19,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,05:00:00,108,64,44,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,06:00:00,264,173,91,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,07:00:00,354,213,141,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,08:00:00,434,269,165,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,09:00:00,300,180,120,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,10:00:00,163,100,63,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,11:00:00,234,130,104,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,12:00:00,309,176,133,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,13:00:00,326,195,131,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,14:00:00,415,211,204,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,15:00:00,409,197,212,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,16:00:00,609,244,365,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,17:00:00,706,310,396,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,18:00:00,435,205,230,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,19:00:00,386,171,215,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,20:00:00,316,167,149,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,21:00:00,272,128,144,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,22:00:00,291,106,185,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-22,23:00:00,79,33,46,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,00:00:00,40,15,25,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,01:00:00,26,6,20,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,02:00:00,15,5,10,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,03:00:00,11,6,5,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,04:00:00,70,45,25,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,05:00:00,128,85,43,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,06:00:00,310,189,121,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,07:00:00,461,280,181,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,08:00:00,533,338,195,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,09:00:00,349,190,159,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,10:00:00,265,144,121,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,11:00:00,277,146,131,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,12:00:00,330,178,152,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,13:00:00,406,240,166,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,14:00:00,459,224,235,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,15:00:00,439,224,215,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,16:00:00,701,292,409,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,17:00:00,804,344,460,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,18:00:00,625,332,293,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,19:00:00,394,208,186,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,20:00:00,354,154,200,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,21:00:00,262,137,125,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,22:00:00,288,94,194,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-23,23:00:00,166,66,100,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-24,00:00:00,84,30,54,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-24,01:00:00,32,8,24,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-24,02:00:00,33,8,25,FMN 01 Ernest Van Dijckkaai
649,Ernest Van Dijckkaai,2022-08-24,03:00:00,9,2,7,FMN 01 Ernest Van Dijckkaai
