Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
652,Jan van Rijswijcklaan 159-171,2022-08-22,00:00:00,12,7,5,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,01:00:00,14,12,2,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,02:00:00,2,2,0,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,03:00:00,1,1,0,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,04:00:00,13,10,3,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,05:00:00,26,23,3,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,06:00:00,73,68,5,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,07:00:00,149,133,16,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,08:00:00,248,236,12,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,09:00:00,145,136,9,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,10:00:00,111,104,7,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,11:00:00,87,76,11,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,12:00:00,117,108,9,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,13:00:00,113,95,18,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,14:00:00,131,116,15,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,15:00:00,131,118,13,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,16:00:00,199,180,19,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,17:00:00,237,210,27,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,18:00:00,162,138,24,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,19:00:00,101,81,20,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,20:00:00,101,83,18,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,21:00:00,61,46,15,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,22:00:00,80,65,15,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-22,23:00:00,41,28,13,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-23,00:00:00,14,10,4,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-23,01:00:00,6,5,1,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-23,02:00:00,10,4,6,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-23,03:00:00,5,4,1,FMN 04 Jan Van Rijswijcklaan
652,Jan van Rijswijcklaan 159-171,2022-08-23,04:00:00,16,11,5,FMN 04 Jan Van Rijswijcklaan
