Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
655,Ringfietspad Zurenborgbrug,2022-08-22,00:00:00,21,13,8,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,01:00:00,7,3,4,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,02:00:00,4,3,1,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,03:00:00,4,2,2,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,04:00:00,21,12,9,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,05:00:00,42,23,19,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,06:00:00,137,76,61,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,07:00:00,332,211,121,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,08:00:00,385,203,182,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,09:00:00,147,70,77,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,10:00:00,85,41,44,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,11:00:00,141,66,75,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,12:00:00,195,102,93,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,13:00:00,204,97,107,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,14:00:00,205,90,115,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,15:00:00,242,110,132,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,16:00:00,447,201,246,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,17:00:00,489,188,301,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,18:00:00,237,108,129,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,19:00:00,206,58,148,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,20:00:00,146,60,86,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,21:00:00,77,35,42,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,22:00:00,83,27,56,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-22,23:00:00,100,74,26,FMN 06 B Zurenborgbrug Ringfietspad
655,Ringfietspad Zurenborgbrug,2022-08-23,00:00:00,27,17,10,FMN 06 B Zurenborgbrug Ringfietspad
