Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
657,Fietsbrug Ijzerlaanbrug,2022-08-22,00:00:00,30,7,23,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,01:00:00,18,3,15,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,02:00:00,14,2,12,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,03:00:00,9,6,3,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,04:00:00,31,17,14,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,05:00:00,54,30,24,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,06:00:00,146,96,50,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,07:00:00,305,229,76,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,08:00:00,413,321,92,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,09:00:00,218,140,78,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,10:00:00,133,78,55,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,11:00:00,161,104,57,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,12:00:00,165,83,82,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,13:00:00,210,105,105,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,14:00:00,215,101,114,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,15:00:00,254,97,157,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,16:00:00,427,153,274,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,17:00:00,501,149,352,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,18:00:00,284,105,179,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,19:00:00,193,90,103,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,20:00:00,185,80,105,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,21:00:00,102,38,64,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,22:00:00,106,41,65,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-22,23:00:00,73,17,56,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,00:00:00,30,8,22,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,01:00:00,16,3,13,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,02:00:00,8,4,4,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,03:00:00,7,5,2,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,04:00:00,23,16,7,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,05:00:00,63,36,27,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,06:00:00,177,119,58,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,07:00:00,354,264,90,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,08:00:00,524,409,115,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,09:00:00,256,175,81,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,10:00:00,178,108,70,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,11:00:00,199,121,78,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,12:00:00,228,119,109,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,13:00:00,249,128,121,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,14:00:00,215,103,112,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,15:00:00,304,99,205,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,16:00:00,495,157,338,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,17:00:00,542,140,402,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,18:00:00,347,110,237,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,19:00:00,252,123,129,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,20:00:00,172,95,77,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,21:00:00,129,53,76,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,22:00:00,125,44,81,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-23,23:00:00,62,16,46,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,00:00:00,40,10,30,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,01:00:00,26,8,18,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,02:00:00,16,2,14,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,03:00:00,9,4,5,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,04:00:00,22,16,6,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,05:00:00,61,30,31,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,06:00:00,156,106,50,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,07:00:00,308,213,95,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,08:00:00,459,350,109,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,09:00:00,263,185,78,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,10:00:00,209,131,78,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,11:00:00,209,136,73,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,12:00:00,259,148,111,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,13:00:00,225,114,111,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,14:00:00,235,113,122,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,15:00:00,282,109,173,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,16:00:00,469,156,313,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,17:00:00,491,148,343,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,18:00:00,359,113,246,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,19:00:00,246,133,113,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,20:00:00,184,83,101,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,21:00:00,136,56,80,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,22:00:00,148,45,103,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-24,23:00:00,87,15,72,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-25,00:00:00,45,13,32,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-25,01:00:00,29,7,22,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-25,02:00:00,17,4,13,FMN 10 IJzerlaanbrug
657,Fietsbrug Ijzerlaanbrug,2022-08-25,03:00:00,8,4,4,FMN 10 IJzerlaanbrug
