Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,00:00:00,3,3,0,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,01:00:00,2,2,0,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,02:00:00,2,2,0,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,03:00:00,1,0,1,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,04:00:00,6,1,5,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,05:00:00,26,6,20,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,06:00:00,40,10,30,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,07:00:00,114,39,75,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,08:00:00,115,35,80,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,09:00:00,41,18,23,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,10:00:00,32,14,18,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,11:00:00,36,20,16,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,12:00:00,56,26,30,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,13:00:00,41,22,19,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,14:00:00,81,45,36,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,15:00:00,78,55,23,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,16:00:00,134,94,40,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,17:00:00,140,101,39,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,18:00:00,88,58,30,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,19:00:00,39,22,17,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,20:00:00,37,19,18,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,21:00:00,31,14,17,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,22:00:00,17,13,4,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-22,23:00:00,7,3,4,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,00:00:00,2,1,1,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,01:00:00,3,1,2,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,02:00:00,4,2,2,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,03:00:00,0,0,0,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,04:00:00,8,2,6,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,05:00:00,25,6,19,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,06:00:00,52,18,34,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,07:00:00,127,41,86,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,08:00:00,148,47,101,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,09:00:00,71,31,40,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
658,Ringfietspad Jan Van Rijswijcklaan,2022-08-23,10:00:00,33,13,20,FMN 11 A Jan Van Rijswijcklaan Ringfietspad
