Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
660,Statielei 26,2022-08-22,00:00:00,18,8,10,FMN 12 Statielei
660,Statielei 26,2022-08-22,01:00:00,16,10,6,FMN 12 Statielei
660,Statielei 26,2022-08-22,02:00:00,9,6,3,FMN 12 Statielei
660,Statielei 26,2022-08-22,03:00:00,9,3,6,FMN 12 Statielei
660,Statielei 26,2022-08-22,04:00:00,5,3,2,FMN 12 Statielei
660,Statielei 26,2022-08-22,05:00:00,12,5,7,FMN 12 Statielei
660,Statielei 26,2022-08-22,06:00:00,36,15,21,FMN 12 Statielei
660,Statielei 26,2022-08-22,07:00:00,64,30,34,FMN 12 Statielei
660,Statielei 26,2022-08-22,08:00:00,139,77,62,FMN 12 Statielei
660,Statielei 26,2022-08-22,09:00:00,119,67,52,FMN 12 Statielei
660,Statielei 26,2022-08-22,10:00:00,80,53,27,FMN 12 Statielei
660,Statielei 26,2022-08-22,11:00:00,82,50,32,FMN 12 Statielei
660,Statielei 26,2022-08-22,12:00:00,95,47,48,FMN 12 Statielei
660,Statielei 26,2022-08-22,13:00:00,113,55,58,FMN 12 Statielei
660,Statielei 26,2022-08-22,14:00:00,106,58,48,FMN 12 Statielei
660,Statielei 26,2022-08-22,15:00:00,110,51,59,FMN 12 Statielei
660,Statielei 26,2022-08-22,16:00:00,178,100,78,FMN 12 Statielei
660,Statielei 26,2022-08-22,17:00:00,201,92,109,FMN 12 Statielei
660,Statielei 26,2022-08-22,18:00:00,164,82,82,FMN 12 Statielei
660,Statielei 26,2022-08-22,19:00:00,137,55,82,FMN 12 Statielei
660,Statielei 26,2022-08-22,20:00:00,144,71,73,FMN 12 Statielei
660,Statielei 26,2022-08-22,21:00:00,103,59,44,FMN 12 Statielei
660,Statielei 26,2022-08-22,22:00:00,82,46,36,FMN 12 Statielei
660,Statielei 26,2022-08-22,23:00:00,58,32,26,FMN 12 Statielei
660,Statielei 26,2022-08-23,00:00:00,33,21,12,FMN 12 Statielei
660,Statielei 26,2022-08-23,01:00:00,26,11,15,FMN 12 Statielei
660,Statielei 26,2022-08-23,02:00:00,7,2,5,FMN 12 Statielei
660,Statielei 26,2022-08-23,03:00:00,5,3,2,FMN 12 Statielei
660,Statielei 26,2022-08-23,04:00:00,7,4,3,FMN 12 Statielei
660,Statielei 26,2022-08-23,05:00:00,19,9,10,FMN 12 Statielei
660,Statielei 26,2022-08-23,06:00:00,43,22,21,FMN 12 Statielei
