Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
662,Luitenant Lippenslaan 200,2022-11-10,00:00:00,14,8,6,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,01:00:00,5,1,4,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,02:00:00,5,1,4,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,03:00:00,4,4,0,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,04:00:00,6,6,0,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,05:00:00,18,12,6,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,06:00:00,62,50,12,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,07:00:00,175,163,12,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,08:00:00,341,321,20,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,09:00:00,183,159,24,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,10:00:00,107,99,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,11:00:00,105,85,20,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,12:00:00,132,114,18,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,13:00:00,107,87,20,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,14:00:00,98,76,22,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,15:00:00,139,97,42,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,16:00:00,184,126,58,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,17:00:00,179,145,34,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,18:00:00,157,121,36,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,19:00:00,135,111,24,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,20:00:00,92,76,16,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,21:00:00,50,38,12,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,22:00:00,29,23,6,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-10,23:00:00,34,26,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,00:00:00,23,13,10,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,01:00:00,27,13,14,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,02:00:00,15,5,10,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,03:00:00,10,8,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,04:00:00,6,2,4,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,05:00:00,16,14,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,06:00:00,18,10,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,07:00:00,18,16,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,08:00:00,31,25,6,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,09:00:00,48,48,0,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,10:00:00,55,47,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,11:00:00,100,84,16,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,12:00:00,107,93,14,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,13:00:00,91,71,20,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,14:00:00,105,71,34,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,15:00:00,101,77,24,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,16:00:00,125,82,43,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,17:00:00,101,73,28,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,18:00:00,98,90,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,19:00:00,85,65,20,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,20:00:00,65,57,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,21:00:00,44,26,18,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,22:00:00,23,15,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-11,23:00:00,28,16,12,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,00:00:00,24,16,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,01:00:00,7,5,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,02:00:00,17,9,8,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,03:00:00,6,4,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,04:00:00,8,6,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,05:00:00,14,12,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,06:00:00,31,17,14,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,07:00:00,24,22,2,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,08:00:00,51,39,12,FMN 15 Luitenant Lippenslaan
662,Luitenant Lippenslaan 200,2022-11-12,09:00:00,126,112,14,FMN 15 Luitenant Lippenslaan
