Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
665,Uitbreidingstraat 390,2022-11-10,00:00:00,16,8,8,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,01:00:00,5,2,3,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,02:00:00,4,0,4,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,03:00:00,3,0,3,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,04:00:00,10,1,9,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,05:00:00,30,4,26,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,06:00:00,73,20,53,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,07:00:00,302,50,252,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,08:00:00,537,88,449,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,09:00:00,192,28,164,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,10:00:00,139,35,104,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,11:00:00,125,41,84,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,12:00:00,146,56,90,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,13:00:00,149,35,114,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,14:00:00,132,54,78,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,15:00:00,218,108,110,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,16:00:00,385,239,146,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,17:00:00,299,154,145,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,18:00:00,289,97,192,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,19:00:00,163,47,116,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,20:00:00,108,33,75,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,21:00:00,96,37,59,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,22:00:00,108,39,69,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-10,23:00:00,90,17,73,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,00:00:00,66,18,48,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,01:00:00,57,5,52,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,02:00:00,36,6,30,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,03:00:00,42,9,33,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,04:00:00,23,5,18,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,05:00:00,34,8,26,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,06:00:00,42,13,29,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,07:00:00,33,5,28,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,08:00:00,38,14,24,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,09:00:00,52,18,34,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,10:00:00,88,23,65,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,11:00:00,71,21,50,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,12:00:00,102,34,68,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,13:00:00,78,22,56,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,14:00:00,107,33,74,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,15:00:00,85,31,54,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,16:00:00,82,21,61,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,17:00:00,99,35,64,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,18:00:00,113,24,89,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,19:00:00,109,26,83,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,20:00:00,68,26,42,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,21:00:00,54,21,33,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,22:00:00,62,18,44,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-11,23:00:00,50,7,43,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,00:00:00,34,8,26,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,01:00:00,43,7,36,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,02:00:00,18,2,16,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,03:00:00,8,1,7,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,04:00:00,8,4,4,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,05:00:00,27,3,24,FMN 18 Binnensingel Westkant
665,Uitbreidingstraat 390,2022-11-12,06:00:00,31,8,23,FMN 18 Binnensingel Westkant
