Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
666,R10 414,2022-11-09,00:00:00,7,2,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,01:00:00,5,4,1,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,02:00:00,2,2,0,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,03:00:00,3,3,0,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,04:00:00,20,7,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,05:00:00,30,11,19,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,06:00:00,60,31,29,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,07:00:00,131,71,60,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,08:00:00,178,83,95,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,09:00:00,71,44,27,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,10:00:00,106,65,41,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,11:00:00,127,81,46,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,12:00:00,242,167,75,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,13:00:00,265,202,63,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,14:00:00,164,123,41,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,15:00:00,265,207,58,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,16:00:00,379,304,75,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,17:00:00,432,315,117,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,18:00:00,340,238,102,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,19:00:00,201,145,56,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,20:00:00,128,100,28,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,21:00:00,145,118,27,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,22:00:00,121,94,27,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-09,23:00:00,51,40,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,00:00:00,15,10,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,01:00:00,9,8,1,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,02:00:00,2,1,1,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,03:00:00,6,4,2,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,04:00:00,17,10,7,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,05:00:00,32,20,12,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,06:00:00,63,39,24,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,07:00:00,156,100,56,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,08:00:00,234,148,86,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,09:00:00,96,58,38,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,10:00:00,80,54,26,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,11:00:00,87,67,20,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,12:00:00,137,105,32,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,13:00:00,141,111,30,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,14:00:00,105,87,18,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,15:00:00,197,167,30,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,16:00:00,288,222,66,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,17:00:00,267,209,58,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,18:00:00,244,175,69,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,19:00:00,140,105,35,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,20:00:00,98,74,24,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,21:00:00,101,76,25,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,22:00:00,72,54,18,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-10,23:00:00,52,34,18,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,00:00:00,36,25,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,01:00:00,31,18,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,02:00:00,28,19,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,03:00:00,22,17,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,04:00:00,39,28,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,05:00:00,22,13,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,06:00:00,20,9,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,07:00:00,27,19,8,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,08:00:00,32,20,12,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,09:00:00,39,34,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,10:00:00,45,35,10,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,11:00:00,60,51,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,12:00:00,61,46,15,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,13:00:00,71,51,20,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,14:00:00,96,75,21,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,15:00:00,99,73,26,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,16:00:00,85,69,16,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,17:00:00,84,57,27,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,18:00:00,100,82,18,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,19:00:00,78,61,17,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,20:00:00,48,33,15,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,21:00:00,51,45,6,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,22:00:00,46,36,10,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-11,23:00:00,45,33,12,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,00:00:00,25,19,6,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,01:00:00,10,9,1,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,02:00:00,9,7,2,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,03:00:00,12,9,3,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,04:00:00,17,10,7,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,05:00:00,12,7,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,06:00:00,19,8,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,07:00:00,23,11,12,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,08:00:00,32,23,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,09:00:00,46,33,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,10:00:00,67,57,10,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,11:00:00,59,43,16,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,12:00:00,94,74,20,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,13:00:00,95,66,29,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,14:00:00,107,72,35,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,15:00:00,97,57,40,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,16:00:00,97,77,20,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,17:00:00,123,91,32,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,18:00:00,92,72,20,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,19:00:00,73,52,21,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,20:00:00,61,46,15,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,21:00:00,48,35,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,22:00:00,49,40,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-12,23:00:00,41,23,18,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,00:00:00,39,33,6,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,01:00:00,14,12,2,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,02:00:00,10,8,2,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,03:00:00,18,11,7,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,04:00:00,8,5,3,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,05:00:00,10,4,6,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,06:00:00,1,0,1,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,07:00:00,12,9,3,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,08:00:00,21,13,8,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,09:00:00,30,23,7,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,10:00:00,61,46,15,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,11:00:00,58,46,12,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,12:00:00,62,49,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,13:00:00,93,70,23,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,14:00:00,95,65,30,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,15:00:00,102,55,47,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,16:00:00,99,74,25,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,17:00:00,104,78,26,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,18:00:00,48,35,13,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,19:00:00,60,46,14,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,20:00:00,46,35,11,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,21:00:00,30,25,5,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,22:00:00,28,19,9,FMN 19 Binnensingel Oostkant
666,R10 414,2022-11-13,23:00:00,19,14,5,FMN 19 Binnensingel Oostkant
