Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
672,Rubenslei 36,2022-11-11,00:00:00,81,63,18,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,01:00:00,104,77,27,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,02:00:00,66,40,26,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,03:00:00,69,47,22,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,04:00:00,50,33,17,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,05:00:00,30,17,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,06:00:00,31,13,18,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,07:00:00,22,20,2,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,08:00:00,36,31,5,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,09:00:00,56,53,3,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,10:00:00,61,56,5,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,11:00:00,91,81,10,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,12:00:00,109,100,9,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,13:00:00,124,102,22,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,14:00:00,100,87,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,15:00:00,124,111,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,16:00:00,120,103,17,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,17:00:00,114,88,26,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,18:00:00,100,83,17,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,19:00:00,113,105,8,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,20:00:00,54,49,5,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,21:00:00,73,60,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,22:00:00,51,42,9,FMN 26 Stadspark
672,Rubenslei 36,2022-11-11,23:00:00,47,40,7,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,00:00:00,74,69,5,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,01:00:00,56,43,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,02:00:00,30,19,11,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,03:00:00,29,14,15,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,04:00:00,27,16,11,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,05:00:00,27,14,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,06:00:00,30,18,12,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,07:00:00,31,26,5,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,08:00:00,36,34,2,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,09:00:00,89,82,7,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,10:00:00,87,76,11,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,11:00:00,105,92,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,12:00:00,140,124,16,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,13:00:00,168,141,27,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,14:00:00,189,166,23,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,15:00:00,149,121,28,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,16:00:00,132,106,26,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,17:00:00,122,100,22,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,18:00:00,125,99,26,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,19:00:00,131,115,16,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,20:00:00,86,72,14,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,21:00:00,69,59,10,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,22:00:00,53,37,16,FMN 26 Stadspark
672,Rubenslei 36,2022-11-12,23:00:00,63,50,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,00:00:00,75,54,21,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,01:00:00,50,38,12,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,02:00:00,29,16,13,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,03:00:00,15,8,7,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,04:00:00,21,19,2,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,05:00:00,22,11,11,FMN 26 Stadspark
672,Rubenslei 36,2022-11-13,06:00:00,22,12,10,FMN 26 Stadspark
