Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
15,Hertevelden 101,2018-07-12,00:00:00,2,2,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,01:00:00,2,2,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,02:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,03:00:00,2,2,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,04:00:00,2,2,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,05:00:00,14,4,10,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,06:00:00,22,6,16,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,07:00:00,56,6,50,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,08:00:00,56,30,26,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,09:00:00,46,18,28,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,10:00:00,50,24,26,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,11:00:00,60,32,28,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,12:00:00,42,26,16,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,13:00:00,100,40,60,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,14:00:00,82,42,40,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,15:00:00,56,26,30,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,16:00:00,122,86,36,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,17:00:00,74,46,28,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,18:00:00,76,44,32,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,19:00:00,38,14,24,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,20:00:00,56,38,18,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,21:00:00,44,28,16,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,22:00:00,32,26,6,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-12,23:00:00,8,6,2,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,00:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,01:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,02:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,03:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,04:00:00,0,0,0,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,05:00:00,14,4,10,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,06:00:00,22,10,12,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,07:00:00,66,14,52,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,08:00:00,26,6,20,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,09:00:00,60,38,22,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,10:00:00,34,18,16,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,11:00:00,82,28,54,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,12:00:00,74,28,46,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,13:00:00,78,28,50,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,14:00:00,68,36,32,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,15:00:00,66,36,30,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,16:00:00,146,82,64,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,17:00:00,92,70,22,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,18:00:00,84,46,38,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,19:00:00,52,24,28,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,20:00:00,38,16,22,FMN GV 07 Arendonk
15,Hertevelden 101,2018-07-13,21:00:00,18,6,12,FMN GV 07 Arendonk
