Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
7,Victor Heylenlei 41,2020-07-02,00:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,01:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,02:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,03:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,04:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,05:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,06:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,07:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,08:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,09:00:00,41,22,19,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,10:00:00,50,30,20,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,11:00:00,40,20,20,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,12:00:00,50,23,27,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,13:00:00,49,29,20,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,14:00:00,84,55,29,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,15:00:00,68,19,49,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,16:00:00,99,36,63,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,17:00:00,100,32,68,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,18:00:00,98,41,57,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,19:00:00,76,27,49,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,20:00:00,68,30,38,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,21:00:00,46,26,20,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,22:00:00,37,32,5,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-02,23:00:00,7,4,3,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-03,00:00:00,8,5,3,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-03,01:00:00,8,0,8,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-03,02:00:00,0,0,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-03,03:00:00,3,3,0,FMN GV 22 Boechout
7,Victor Heylenlei 41,2020-07-03,04:00:00,2,2,0,FMN GV 22 Boechout
