Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,08:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,09:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,10:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,11:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,12:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,13:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,14:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,15:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,16:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,17:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,18:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,19:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,20:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,21:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,22:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,23:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-14,,,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,00:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,01:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,02:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,03:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,04:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,05:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,06:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,07:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,08:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,09:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,10:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,11:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,12:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,13:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,14:00:00,1,1,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,15:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,16:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,17:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,18:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,19:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,20:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,21:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,22:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-08-27,23:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,00:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,00:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,01:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,01:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,02:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,02:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,03:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,03:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,04:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,04:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,05:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,05:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,06:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,06:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,07:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,07:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,08:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,08:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,09:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,09:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,10:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,10:00:00,0,0,0,GEE01
192,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,11:00:00,0,0,0,GEE01
193,Dr Van de Perrestraat tssn Katersberg-Badstra,2015-09-08,11:00:00,0,0,0,GEE01
