Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
642,Herenthoutsesteenweg 2,2021-09-17,02:00:00,9,7,2,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,03:00:00,3,3,0,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,04:00:00,2,2,0,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,05:00:00,0,0,0,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,06:00:00,6,4,2,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,07:00:00,12,12,0,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,08:00:00,33,27,6,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,09:00:00,167,165,2,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,10:00:00,621,613,8,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,11:00:00,124,122,2,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,12:00:00,104,99,5,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,13:00:00,84,81,3,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,14:00:00,81,75,6,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,15:00:00,117,108,9,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,16:00:00,132,122,10,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,17:00:00,181,176,5,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,18:00:00,175,157,18,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,19:00:00,95,86,9,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,20:00:00,68,65,3,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,21:00:00,57,52,5,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,22:00:00,57,50,7,ECO_300019380
642,Herenthoutsesteenweg 2,2021-09-17,23:00:00,23,23,0,ECO_300019380
