Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
570,F105 (vlak overr brug over kanaal),2022-06-21,00:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,01:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,02:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,03:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,04:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,05:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,06:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,07:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,08:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,09:00:00,0,0,0,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,10:00:00,38,9,29,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,11:00:00,64,19,45,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,12:00:00,71,26,45,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,13:00:00,98,49,49,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,14:00:00,184,81,103,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,15:00:00,115,48,67,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,16:00:00,88,37,51,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,17:00:00,73,40,33,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,18:00:00,44,22,22,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,19:00:00,19,7,12,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,20:00:00,21,5,16,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,21:00:00,18,6,12,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,22:00:00,14,6,8,F1052
570,F105 (vlak overr brug over kanaal),2022-06-21,23:00:00,1,0,1,F1052
570,F105 (vlak overr brug over kanaal),2022-06-22,00:00:00,2,2,0,F1052
