Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
46,Statielei 16,2018-07-12,00:00:00,13,7,6,FMN GV 03 Hove
46,Statielei 16,2018-07-12,01:00:00,5,3,2,FMN GV 03 Hove
46,Statielei 16,2018-07-12,02:00:00,3,1,2,FMN GV 03 Hove
46,Statielei 16,2018-07-12,03:00:00,4,4,0,FMN GV 03 Hove
46,Statielei 16,2018-07-12,04:00:00,9,9,0,FMN GV 03 Hove
46,Statielei 16,2018-07-12,05:00:00,15,8,7,FMN GV 03 Hove
46,Statielei 16,2018-07-12,06:00:00,82,62,20,FMN GV 03 Hove
46,Statielei 16,2018-07-12,07:00:00,200,146,54,FMN GV 03 Hove
46,Statielei 16,2018-07-12,08:00:00,205,156,49,FMN GV 03 Hove
46,Statielei 16,2018-07-12,09:00:00,106,73,33,FMN GV 03 Hove
46,Statielei 16,2018-07-12,10:00:00,85,55,30,FMN GV 03 Hove
46,Statielei 16,2018-07-12,11:00:00,104,75,29,FMN GV 03 Hove
46,Statielei 16,2018-07-12,12:00:00,100,54,46,FMN GV 03 Hove
46,Statielei 16,2018-07-12,13:00:00,116,67,49,FMN GV 03 Hove
46,Statielei 16,2018-07-12,14:00:00,121,52,69,FMN GV 03 Hove
46,Statielei 16,2018-07-12,15:00:00,123,49,74,FMN GV 03 Hove
46,Statielei 16,2018-07-12,16:00:00,199,88,111,FMN GV 03 Hove
46,Statielei 16,2018-07-12,17:00:00,245,83,162,FMN GV 03 Hove
46,Statielei 16,2018-07-12,18:00:00,200,79,121,FMN GV 03 Hove
46,Statielei 16,2018-07-12,19:00:00,122,57,65,FMN GV 03 Hove
46,Statielei 16,2018-07-12,20:00:00,122,92,30,FMN GV 03 Hove
46,Statielei 16,2018-07-12,21:00:00,83,53,30,FMN GV 03 Hove
46,Statielei 16,2018-07-12,22:00:00,53,31,22,FMN GV 03 Hove
46,Statielei 16,2018-07-12,23:00:00,22,8,14,FMN GV 03 Hove
46,Statielei 16,2018-07-13,00:00:00,18,3,15,FMN GV 03 Hove
46,Statielei 16,2018-07-13,01:00:00,2,1,1,FMN GV 03 Hove
46,Statielei 16,2018-07-13,02:00:00,7,3,4,FMN GV 03 Hove
46,Statielei 16,2018-07-13,03:00:00,1,0,1,FMN GV 03 Hove
46,Statielei 16,2018-07-13,04:00:00,8,7,1,FMN GV 03 Hove
46,Statielei 16,2018-07-13,05:00:00,17,12,5,FMN GV 03 Hove
46,Statielei 16,2018-07-13,06:00:00,73,52,21,FMN GV 03 Hove
46,Statielei 16,2018-07-13,07:00:00,173,137,36,FMN GV 03 Hove
46,Statielei 16,2018-07-13,08:00:00,181,127,54,FMN GV 03 Hove
46,Statielei 16,2018-07-13,09:00:00,92,54,38,FMN GV 03 Hove
46,Statielei 16,2018-07-13,10:00:00,112,63,49,FMN GV 03 Hove
46,Statielei 16,2018-07-13,11:00:00,80,56,24,FMN GV 03 Hove
46,Statielei 16,2018-07-13,12:00:00,104,54,50,FMN GV 03 Hove
46,Statielei 16,2018-07-13,13:00:00,107,63,44,FMN GV 03 Hove
46,Statielei 16,2018-07-13,14:00:00,136,69,67,FMN GV 03 Hove
46,Statielei 16,2018-07-13,15:00:00,142,60,82,FMN GV 03 Hove
46,Statielei 16,2018-07-13,16:00:00,179,78,101,FMN GV 03 Hove
46,Statielei 16,2018-07-13,17:00:00,204,77,127,FMN GV 03 Hove
46,Statielei 16,2018-07-13,18:00:00,155,71,84,FMN GV 03 Hove
46,Statielei 16,2018-07-13,19:00:00,83,41,42,FMN GV 03 Hove
46,Statielei 16,2018-07-13,20:00:00,76,57,19,FMN GV 03 Hove
46,Statielei 16,2018-07-13,21:00:00,39,22,17,FMN GV 03 Hove
46,Statielei 16,2018-07-13,22:00:00,36,13,23,FMN GV 03 Hove
46,Statielei 16,2018-07-13,23:00:00,46,17,29,FMN GV 03 Hove
46,Statielei 16,2018-07-14,00:00:00,23,10,13,FMN GV 03 Hove
46,Statielei 16,2018-07-14,01:00:00,12,6,6,FMN GV 03 Hove
46,Statielei 16,2018-07-14,02:00:00,6,2,4,FMN GV 03 Hove
46,Statielei 16,2018-07-14,03:00:00,4,0,4,FMN GV 03 Hove
46,Statielei 16,2018-07-14,04:00:00,5,3,2,FMN GV 03 Hove
46,Statielei 16,2018-07-14,05:00:00,13,7,6,FMN GV 03 Hove
46,Statielei 16,2018-07-14,06:00:00,16,6,10,FMN GV 03 Hove
46,Statielei 16,2018-07-14,07:00:00,12,6,6,FMN GV 03 Hove
46,Statielei 16,2018-07-14,08:00:00,34,17,17,FMN GV 03 Hove
46,Statielei 16,2018-07-14,09:00:00,67,37,30,FMN GV 03 Hove
46,Statielei 16,2018-07-14,10:00:00,110,65,45,FMN GV 03 Hove
46,Statielei 16,2018-07-14,11:00:00,133,80,53,FMN GV 03 Hove
46,Statielei 16,2018-07-14,12:00:00,123,72,51,FMN GV 03 Hove
46,Statielei 16,2018-07-14,13:00:00,141,89,52,FMN GV 03 Hove
46,Statielei 16,2018-07-14,14:00:00,149,95,54,FMN GV 03 Hove
46,Statielei 16,2018-07-14,15:00:00,165,101,64,FMN GV 03 Hove
46,Statielei 16,2018-07-14,16:00:00,74,41,33,FMN GV 03 Hove
46,Statielei 16,2018-07-14,17:00:00,80,40,40,FMN GV 03 Hove
46,Statielei 16,2018-07-14,18:00:00,80,39,41,FMN GV 03 Hove
46,Statielei 16,2018-07-14,19:00:00,86,45,41,FMN GV 03 Hove
46,Statielei 16,2018-07-14,20:00:00,72,35,37,FMN GV 03 Hove
46,Statielei 16,2018-07-14,21:00:00,48,29,19,FMN GV 03 Hove
46,Statielei 16,2018-07-14,22:00:00,29,20,9,FMN GV 03 Hove
46,Statielei 16,2018-07-14,23:00:00,25,6,19,FMN GV 03 Hove
46,Statielei 16,2018-07-15,00:00:00,26,6,20,FMN GV 03 Hove
46,Statielei 16,2018-07-15,01:00:00,13,5,8,FMN GV 03 Hove
46,Statielei 16,2018-07-15,02:00:00,5,1,4,FMN GV 03 Hove
46,Statielei 16,2018-07-15,03:00:00,7,3,4,FMN GV 03 Hove
46,Statielei 16,2018-07-15,04:00:00,6,5,1,FMN GV 03 Hove
46,Statielei 16,2018-07-15,05:00:00,9,7,2,FMN GV 03 Hove
46,Statielei 16,2018-07-15,06:00:00,10,6,4,FMN GV 03 Hove
46,Statielei 16,2018-07-15,07:00:00,18,7,11,FMN GV 03 Hove
46,Statielei 16,2018-07-15,08:00:00,63,23,40,FMN GV 03 Hove
46,Statielei 16,2018-07-15,09:00:00,117,46,71,FMN GV 03 Hove
46,Statielei 16,2018-07-15,10:00:00,147,80,67,FMN GV 03 Hove
46,Statielei 16,2018-07-15,11:00:00,172,98,74,FMN GV 03 Hove
46,Statielei 16,2018-07-15,12:00:00,155,94,61,FMN GV 03 Hove
46,Statielei 16,2018-07-15,13:00:00,149,86,63,FMN GV 03 Hove
46,Statielei 16,2018-07-15,14:00:00,175,99,76,FMN GV 03 Hove
46,Statielei 16,2018-07-15,15:00:00,160,80,80,FMN GV 03 Hove
46,Statielei 16,2018-07-15,16:00:00,164,96,68,FMN GV 03 Hove
46,Statielei 16,2018-07-15,17:00:00,90,43,47,FMN GV 03 Hove
46,Statielei 16,2018-07-15,18:00:00,98,58,40,FMN GV 03 Hove
46,Statielei 16,2018-07-15,19:00:00,91,44,47,FMN GV 03 Hove
46,Statielei 16,2018-07-15,20:00:00,71,36,35,FMN GV 03 Hove
46,Statielei 16,2018-07-15,21:00:00,64,39,25,FMN GV 03 Hove
46,Statielei 16,2018-07-15,22:00:00,45,30,15,FMN GV 03 Hove
46,Statielei 16,2018-07-15,23:00:00,11,6,5,FMN GV 03 Hove
46,Statielei 16,2018-07-16,00:00:00,7,2,5,FMN GV 03 Hove
46,Statielei 16,2018-07-16,01:00:00,1,0,1,FMN GV 03 Hove
46,Statielei 16,2018-07-16,02:00:00,1,1,0,FMN GV 03 Hove
46,Statielei 16,2018-07-16,03:00:00,1,0,1,FMN GV 03 Hove
46,Statielei 16,2018-07-16,04:00:00,11,8,3,FMN GV 03 Hove
46,Statielei 16,2018-07-16,05:00:00,27,23,4,FMN GV 03 Hove
46,Statielei 16,2018-07-16,06:00:00,92,67,25,FMN GV 03 Hove
46,Statielei 16,2018-07-16,07:00:00,225,169,56,FMN GV 03 Hove
46,Statielei 16,2018-07-16,08:00:00,183,138,45,FMN GV 03 Hove
46,Statielei 16,2018-07-16,09:00:00,106,71,35,FMN GV 03 Hove
46,Statielei 16,2018-07-16,10:00:00,82,49,33,FMN GV 03 Hove
46,Statielei 16,2018-07-16,11:00:00,87,57,30,FMN GV 03 Hove
46,Statielei 16,2018-07-16,12:00:00,94,53,41,FMN GV 03 Hove
46,Statielei 16,2018-07-16,13:00:00,132,83,49,FMN GV 03 Hove
46,Statielei 16,2018-07-16,14:00:00,113,58,55,FMN GV 03 Hove
46,Statielei 16,2018-07-16,15:00:00,130,62,68,FMN GV 03 Hove
46,Statielei 16,2018-07-16,16:00:00,174,72,102,FMN GV 03 Hove
46,Statielei 16,2018-07-16,17:00:00,259,100,159,FMN GV 03 Hove
46,Statielei 16,2018-07-16,18:00:00,172,58,114,FMN GV 03 Hove
46,Statielei 16,2018-07-16,19:00:00,47,21,26,FMN GV 03 Hove
46,Statielei 16,2018-07-16,20:00:00,36,25,11,FMN GV 03 Hove
46,Statielei 16,2018-07-16,21:00:00,27,18,9,FMN GV 03 Hove
46,Statielei 16,2018-07-16,22:00:00,29,15,14,FMN GV 03 Hove
46,Statielei 16,2018-07-16,23:00:00,4,2,2,FMN GV 03 Hove
46,Statielei 16,2018-07-17,00:00:00,5,3,2,FMN GV 03 Hove
46,Statielei 16,2018-07-17,01:00:00,2,0,2,FMN GV 03 Hove
46,Statielei 16,2018-07-17,02:00:00,0,0,0,FMN GV 03 Hove
46,Statielei 16,2018-07-17,03:00:00,3,2,1,FMN GV 03 Hove
46,Statielei 16,2018-07-17,04:00:00,7,4,3,FMN GV 03 Hove
46,Statielei 16,2018-07-17,05:00:00,20,13,7,FMN GV 03 Hove
46,Statielei 16,2018-07-17,06:00:00,92,73,19,FMN GV 03 Hove
46,Statielei 16,2018-07-17,07:00:00,190,142,48,FMN GV 03 Hove
46,Statielei 16,2018-07-17,08:00:00,202,149,53,FMN GV 03 Hove
