Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
60,Mechelsesteenweg 365,2018-07-12,00:00:00,0,0,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,01:00:00,0,0,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,02:00:00,0,0,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,03:00:00,0,0,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,04:00:00,2,2,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,05:00:00,4,0,4,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,06:00:00,18,4,14,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,07:00:00,88,24,64,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,08:00:00,56,20,36,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,09:00:00,98,56,42,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,10:00:00,228,76,152,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,11:00:00,194,90,104,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,12:00:00,130,64,66,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,13:00:00,226,82,144,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,14:00:00,264,116,148,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,15:00:00,240,98,142,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,16:00:00,196,78,118,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,17:00:00,158,80,78,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,18:00:00,138,82,56,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,19:00:00,126,78,48,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,20:00:00,114,48,66,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,21:00:00,64,28,36,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,22:00:00,24,10,14,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-12,23:00:00,6,0,6,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,00:00:00,6,0,6,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,01:00:00,0,0,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,02:00:00,4,2,2,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,03:00:00,2,2,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,04:00:00,2,2,0,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,05:00:00,4,0,4,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,06:00:00,12,8,4,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,07:00:00,64,24,40,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,08:00:00,60,22,38,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,09:00:00,70,36,34,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,10:00:00,220,80,140,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,11:00:00,162,66,96,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,12:00:00,122,54,68,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,13:00:00,124,76,48,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,14:00:00,212,128,84,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,15:00:00,210,96,114,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,16:00:00,190,86,104,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,17:00:00,164,70,94,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,18:00:00,104,54,50,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,19:00:00,74,38,36,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,20:00:00,92,44,48,FMN GV 05 Lier
60,Mechelsesteenweg 365,2018-07-13,21:00:00,62,26,36,FMN GV 05 Lier
