Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
24,Bels lijntje,2018-07-12,00:00:00,2,0,2,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,01:00:00,1,1,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,02:00:00,3,1,2,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,03:00:00,3,2,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,04:00:00,3,1,2,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,05:00:00,5,3,2,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,06:00:00,14,7,7,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,07:00:00,28,19,9,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,08:00:00,40,23,17,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,09:00:00,85,57,28,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,10:00:00,73,41,32,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,11:00:00,81,36,45,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,12:00:00,96,56,40,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,13:00:00,161,76,85,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,14:00:00,153,94,59,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,15:00:00,139,85,54,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,16:00:00,139,60,79,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,17:00:00,100,48,52,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,18:00:00,70,43,27,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,19:00:00,78,39,39,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,20:00:00,63,38,25,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,21:00:00,37,21,16,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,22:00:00,13,6,7,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-12,23:00:00,8,6,2,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,00:00:00,0,0,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,01:00:00,0,0,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,02:00:00,0,0,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,03:00:00,0,0,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,04:00:00,4,4,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,05:00:00,7,4,3,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,06:00:00,14,9,5,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,07:00:00,41,22,19,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,08:00:00,43,26,17,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,09:00:00,33,13,20,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,10:00:00,83,45,38,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,11:00:00,79,43,36,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,12:00:00,95,51,44,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,13:00:00,94,50,44,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,14:00:00,168,89,79,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,15:00:00,142,73,69,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,16:00:00,125,62,63,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,17:00:00,113,61,52,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,18:00:00,70,45,25,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,19:00:00,52,29,23,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,20:00:00,46,26,20,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,21:00:00,36,24,12,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,22:00:00,22,11,11,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-13,23:00:00,8,7,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,00:00:00,2,2,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,01:00:00,1,0,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,02:00:00,1,0,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,03:00:00,3,3,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,04:00:00,0,0,0,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,05:00:00,2,1,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,06:00:00,4,3,1,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,07:00:00,12,7,5,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,08:00:00,29,13,16,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,09:00:00,95,37,58,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,10:00:00,109,34,75,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,11:00:00,127,69,58,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,12:00:00,114,57,57,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,13:00:00,122,71,51,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,14:00:00,135,77,58,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,15:00:00,139,85,54,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,16:00:00,73,43,30,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,17:00:00,69,41,28,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,18:00:00,55,36,19,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,19:00:00,90,58,32,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,20:00:00,81,46,35,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,21:00:00,49,25,24,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,22:00:00,12,7,5,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-14,23:00:00,7,3,4,FMN GV 08 B Turnhout
24,Bels lijntje,2018-07-15,00:00:00,5,4,1,FMN GV 08 B Turnhout
