Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
653,Gerard le Grellelaan 10,2022-08-22,00:00:00,7,7,0,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,01:00:00,7,4,3,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,02:00:00,4,2,2,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,03:00:00,1,0,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,04:00:00,12,8,4,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,05:00:00,28,8,20,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,06:00:00,36,22,14,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,07:00:00,124,83,41,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,08:00:00,167,133,34,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,09:00:00,90,76,14,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,10:00:00,63,51,12,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,11:00:00,75,63,12,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,12:00:00,89,68,21,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,13:00:00,68,55,13,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,14:00:00,85,62,23,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,15:00:00,53,45,8,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,16:00:00,99,81,18,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,17:00:00,157,129,28,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,18:00:00,142,116,26,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,19:00:00,91,72,19,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,20:00:00,59,43,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,21:00:00,59,45,14,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,22:00:00,48,36,12,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-22,23:00:00,19,14,5,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,00:00:00,15,13,2,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,01:00:00,5,4,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,02:00:00,5,2,3,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,03:00:00,1,1,0,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,04:00:00,13,7,6,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,05:00:00,37,10,27,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,06:00:00,49,32,17,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,07:00:00,124,83,41,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,08:00:00,185,150,35,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,09:00:00,129,109,20,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,10:00:00,70,49,21,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,11:00:00,88,77,11,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,12:00:00,77,64,13,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,13:00:00,89,70,19,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,14:00:00,92,76,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,15:00:00,62,44,18,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,16:00:00,99,79,20,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,17:00:00,184,143,41,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,18:00:00,142,117,25,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,19:00:00,98,74,24,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,20:00:00,60,47,13,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,21:00:00,70,54,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,22:00:00,53,44,9,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-23,23:00:00,15,13,2,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,00:00:00,22,15,7,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,01:00:00,3,3,0,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,02:00:00,2,2,0,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,03:00:00,1,0,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,04:00:00,11,8,3,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,05:00:00,23,5,18,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,06:00:00,48,32,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,07:00:00,111,72,39,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,08:00:00,195,154,41,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,09:00:00,98,84,14,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,10:00:00,87,75,12,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,11:00:00,84,68,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,12:00:00,73,53,20,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,13:00:00,72,57,15,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,14:00:00,58,43,15,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,15:00:00,75,66,9,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,16:00:00,112,84,28,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,17:00:00,151,119,32,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,18:00:00,139,116,23,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,19:00:00,89,70,19,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,20:00:00,83,66,17,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,21:00:00,68,52,16,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,22:00:00,70,57,13,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-24,23:00:00,26,21,5,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,00:00:00,16,13,3,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,01:00:00,3,2,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,02:00:00,3,2,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,03:00:00,4,3,1,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,04:00:00,12,7,5,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,05:00:00,27,9,18,FMN 05 Gerard Le Grellelaan
653,Gerard le Grellelaan 10,2022-08-25,06:00:00,46,28,18,FMN 05 Gerard Le Grellelaan
