Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
676,Noorderlaan,2022-11-10,00:00:00,23,15,8,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,01:00:00,30,26,4,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,02:00:00,7,2,5,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,03:00:00,13,9,4,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,04:00:00,25,16,9,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,05:00:00,92,42,50,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,06:00:00,137,78,59,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,07:00:00,372,254,118,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,08:00:00,482,338,144,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,09:00:00,162,111,51,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,10:00:00,118,83,35,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,11:00:00,127,85,42,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,12:00:00,149,90,59,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,13:00:00,170,90,80,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,14:00:00,193,116,77,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,15:00:00,222,117,105,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,16:00:00,377,188,189,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,17:00:00,372,169,203,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,18:00:00,220,117,103,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,19:00:00,122,60,62,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,20:00:00,94,52,42,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,21:00:00,70,20,50,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,22:00:00,96,52,44,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-10,23:00:00,64,30,34,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,00:00:00,50,28,22,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,01:00:00,38,15,23,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,02:00:00,26,17,9,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,03:00:00,25,10,15,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,04:00:00,30,19,11,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,05:00:00,35,14,21,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,06:00:00,31,20,11,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,07:00:00,34,18,16,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,08:00:00,29,19,10,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,09:00:00,44,35,9,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,10:00:00,58,40,18,FMN 16 Noorderlaanbrug
676,Noorderlaan,2022-11-11,11:00:00,68,46,22,FMN 16 Noorderlaanbrug
