Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
664,Stenenbrug 70,2022-11-10,00:00:00,28,13,15,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,01:00:00,6,3,3,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,02:00:00,9,2,7,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,03:00:00,10,7,3,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,04:00:00,29,24,5,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,05:00:00,58,45,13,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,06:00:00,91,71,20,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,07:00:00,325,246,79,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,08:00:00,530,382,148,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,09:00:00,193,148,45,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,10:00:00,132,103,29,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,11:00:00,139,99,40,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,12:00:00,232,159,73,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,13:00:00,181,125,56,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,14:00:00,168,119,49,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,15:00:00,324,216,108,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,16:00:00,509,334,175,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,17:00:00,463,286,177,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,18:00:00,341,234,107,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,19:00:00,264,198,66,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,20:00:00,190,152,38,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,21:00:00,116,77,39,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,22:00:00,83,55,28,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-10,23:00:00,67,31,36,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,00:00:00,53,33,20,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,01:00:00,40,28,12,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,02:00:00,19,12,7,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,03:00:00,21,17,4,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,04:00:00,20,14,6,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,05:00:00,20,12,8,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,06:00:00,30,16,14,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,07:00:00,32,25,7,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,08:00:00,44,34,10,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,09:00:00,79,59,20,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,10:00:00,97,70,27,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,11:00:00,125,93,32,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,12:00:00,153,118,35,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,13:00:00,171,137,34,FMN 17 Stenenbrug
664,Stenenbrug 70,2022-11-11,14:00:00,171,122,49,FMN 17 Stenenbrug
