Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
668,Desguinlei 100,2022-11-11,00:00:00,53,15,38,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,01:00:00,31,8,23,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,02:00:00,20,6,14,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,03:00:00,24,5,19,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,04:00:00,13,7,6,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,05:00:00,11,8,3,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,06:00:00,15,4,11,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,07:00:00,15,2,13,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,08:00:00,29,9,20,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,09:00:00,60,15,45,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,10:00:00,59,18,41,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,11:00:00,52,13,39,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,12:00:00,74,33,41,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,13:00:00,78,25,53,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,14:00:00,96,33,63,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,15:00:00,85,25,60,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,16:00:00,86,26,60,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,17:00:00,99,30,69,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,18:00:00,76,19,57,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,19:00:00,89,59,30,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,20:00:00,48,14,34,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,21:00:00,56,12,44,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,22:00:00,57,16,41,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-11,23:00:00,40,8,32,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,00:00:00,36,9,27,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,01:00:00,10,4,6,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,02:00:00,13,4,9,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,03:00:00,18,4,14,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,04:00:00,28,6,22,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,05:00:00,17,4,13,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,06:00:00,17,4,13,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,07:00:00,15,4,11,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,08:00:00,34,10,24,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,09:00:00,60,22,38,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,10:00:00,36,11,25,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,11:00:00,87,32,55,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,12:00:00,90,28,62,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,13:00:00,109,37,72,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,14:00:00,92,29,63,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,15:00:00,116,44,72,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,16:00:00,132,22,110,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,17:00:00,131,26,105,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,18:00:00,104,31,73,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,19:00:00,89,37,52,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,20:00:00,45,9,36,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,21:00:00,47,4,43,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,22:00:00,65,13,52,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-12,23:00:00,55,20,35,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,00:00:00,37,10,27,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,01:00:00,14,3,11,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,02:00:00,13,3,10,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,03:00:00,17,5,12,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,04:00:00,8,3,5,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,05:00:00,9,4,5,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,06:00:00,7,3,4,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,07:00:00,8,1,7,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,08:00:00,14,1,13,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,09:00:00,66,20,46,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,10:00:00,39,6,33,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,11:00:00,83,35,48,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,12:00:00,74,20,54,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,13:00:00,114,37,77,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,14:00:00,108,42,66,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,15:00:00,119,43,76,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,16:00:00,116,49,67,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,17:00:00,130,34,96,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,18:00:00,57,19,38,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,19:00:00,47,10,37,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,20:00:00,33,9,24,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,21:00:00,25,8,17,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,22:00:00,23,9,14,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-13,23:00:00,19,1,18,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,00:00:00,7,2,5,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,01:00:00,4,0,4,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,02:00:00,2,0,2,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,03:00:00,1,0,1,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,04:00:00,10,3,7,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,05:00:00,21,6,15,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,06:00:00,48,19,29,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,07:00:00,119,35,84,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,08:00:00,216,95,121,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,09:00:00,116,53,63,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,10:00:00,93,29,64,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,11:00:00,68,19,49,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,12:00:00,151,40,111,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,13:00:00,124,30,94,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,14:00:00,107,41,66,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,15:00:00,168,45,123,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,16:00:00,190,35,155,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,17:00:00,244,53,191,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,18:00:00,171,49,122,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,19:00:00,109,36,73,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,20:00:00,82,32,50,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,21:00:00,59,34,25,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,22:00:00,49,14,35,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-14,23:00:00,25,12,13,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,00:00:00,3,0,3,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,01:00:00,3,0,3,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,02:00:00,1,0,1,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,03:00:00,1,0,1,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,04:00:00,8,3,5,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,05:00:00,20,3,17,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,06:00:00,59,22,37,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,07:00:00,151,38,113,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,08:00:00,250,97,153,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,09:00:00,100,46,54,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,10:00:00,99,38,61,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,11:00:00,137,43,94,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,12:00:00,112,35,77,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,13:00:00,158,79,79,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,14:00:00,84,25,59,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,15:00:00,148,34,114,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,16:00:00,238,39,199,FMN 21 Desguinlei Zuidkant
668,Desguinlei 100,2022-11-15,17:00:00,217,49,168,FMN 21 Desguinlei Zuidkant
