Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
54,Posthofbrug 5366,2018-06-15,00:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,01:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,02:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,03:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,04:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,05:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,06:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,07:00:00,10,2,8,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,08:00:00,41,5,36,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,09:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,10:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,11:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,12:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,13:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,14:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,15:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,16:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,17:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,18:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,19:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,20:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,21:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,22:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-06-15,23:00:00,0,0,0,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,00:00:00,24,5,19,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,01:00:00,13,2,11,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,02:00:00,3,2,1,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,03:00:00,1,0,1,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,04:00:00,7,6,1,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,05:00:00,18,11,7,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,06:00:00,80,54,26,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,07:00:00,255,175,80,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,08:00:00,377,268,109,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,09:00:00,186,137,49,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,10:00:00,105,65,40,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,11:00:00,107,62,45,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,12:00:00,125,69,56,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,13:00:00,116,56,60,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,14:00:00,118,61,57,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,15:00:00,187,82,105,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,16:00:00,285,121,164,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,17:00:00,340,151,189,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,18:00:00,231,123,108,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,19:00:00,228,119,109,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,20:00:00,54,24,30,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,21:00:00,32,20,12,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,22:00:00,104,40,64,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-06,23:00:00,120,56,64,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,00:00:00,82,26,56,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,01:00:00,40,14,26,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,02:00:00,28,2,26,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,03:00:00,11,2,9,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,04:00:00,11,1,10,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,05:00:00,11,5,6,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,06:00:00,28,17,11,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,07:00:00,15,9,6,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,08:00:00,42,32,10,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,09:00:00,69,52,17,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,10:00:00,103,75,28,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,11:00:00,99,68,31,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,12:00:00,133,81,52,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,13:00:00,130,88,42,FMN GV 16 Berchem TOT
54,Posthofbrug 5366,2018-07-07,14:00:00,150,94,56,FMN GV 16 Berchem TOT
