Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
39,Antwerpseweg 195,2018-07-12,00:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,01:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,02:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,03:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,04:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,05:00:00,7,7,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,06:00:00,11,8,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,07:00:00,20,19,1,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,08:00:00,30,28,2,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,09:00:00,12,7,5,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,10:00:00,12,7,5,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,11:00:00,24,14,10,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,12:00:00,23,13,10,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,13:00:00,33,19,14,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,14:00:00,26,18,8,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,15:00:00,32,23,9,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,16:00:00,37,25,12,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,17:00:00,30,19,11,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,18:00:00,19,14,5,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,19:00:00,29,23,6,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,20:00:00,12,9,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,21:00:00,7,4,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,22:00:00,11,7,4,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-12,23:00:00,2,2,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,00:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,01:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,02:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,03:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,04:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,05:00:00,7,7,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,06:00:00,12,8,4,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,07:00:00,19,17,2,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,08:00:00,26,20,6,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,09:00:00,6,5,1,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,10:00:00,11,10,1,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,11:00:00,16,11,5,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,12:00:00,35,28,7,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,13:00:00,43,30,13,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,14:00:00,34,26,8,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,15:00:00,49,33,16,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,16:00:00,34,21,13,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,17:00:00,38,26,12,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,18:00:00,21,14,7,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,19:00:00,21,10,11,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,20:00:00,11,8,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,21:00:00,13,10,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,22:00:00,8,7,1,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-13,23:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,00:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,01:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,02:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,03:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,04:00:00,0,0,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,05:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,06:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,07:00:00,1,1,0,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,08:00:00,5,3,2,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,09:00:00,16,13,3,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,10:00:00,21,15,6,FMN GV 10 Beerse
39,Antwerpseweg 195,2018-07-14,11:00:00,17,12,5,FMN GV 10 Beerse
