Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
84,Oudemolsedijk,2018-07-15,00:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,01:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,02:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,03:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,04:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,05:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,06:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,07:00:00,4,2,2,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,08:00:00,32,13,19,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,09:00:00,89,50,39,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,10:00:00,146,76,70,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,11:00:00,170,104,66,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,12:00:00,66,35,31,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,13:00:00,85,41,44,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,14:00:00,118,44,74,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,15:00:00,87,62,25,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,16:00:00,82,45,37,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,17:00:00,41,21,20,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,18:00:00,30,9,21,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,19:00:00,30,16,14,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,20:00:00,14,8,6,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,21:00:00,22,12,10,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,22:00:00,4,0,4,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-15,23:00:00,4,4,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,00:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,01:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,02:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,03:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,04:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,05:00:00,2,1,1,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,06:00:00,8,5,3,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,07:00:00,11,4,7,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,08:00:00,13,8,5,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,09:00:00,22,9,13,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,10:00:00,31,15,16,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,11:00:00,26,12,14,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,12:00:00,38,13,25,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,13:00:00,67,21,46,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,14:00:00,68,34,34,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,15:00:00,71,49,22,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,16:00:00,50,30,20,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,17:00:00,26,17,9,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,18:00:00,38,14,24,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,19:00:00,24,14,10,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,20:00:00,32,19,13,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,21:00:00,15,10,5,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,22:00:00,1,0,1,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-16,23:00:00,1,0,1,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-17,00:00:00,0,0,0,FMN GV 18 Kasterlee
84,Oudemolsedijk,2018-07-17,01:00:00,0,0,0,FMN GV 18 Kasterlee
