Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
89,Rauwelkoven 54,2020-02-14,00:00:00,0,0,0,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,01:00:00,0,0,0,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,02:00:00,0,0,0,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,03:00:00,2,2,0,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,04:00:00,0,0,0,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,05:00:00,5,0,5,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,06:00:00,8,5,3,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,07:00:00,12,5,7,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,08:00:00,16,8,8,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,09:00:00,20,8,12,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,10:00:00,36,7,29,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,11:00:00,47,29,18,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,12:00:00,52,19,33,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,13:00:00,34,11,23,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,14:00:00,107,51,56,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,15:00:00,110,59,51,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,16:00:00,238,130,108,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,17:00:00,31,16,15,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,18:00:00,8,5,3,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,19:00:00,21,10,11,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,20:00:00,7,0,7,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,21:00:00,9,8,1,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,22:00:00,25,15,10,FMN GV 21 Geel
89,Rauwelkoven 54,2020-02-14,23:00:00,1,0,1,FMN GV 21 Geel
