Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
569,Koulaak,2022-06-21,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,01:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,03:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,04:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,05:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,06:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,07:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,08:00:00,0,0,0,F1051
569,Koulaak,2022-06-21,09:00:00,6,6,0,F1051
569,Koulaak,2022-06-21,10:00:00,35,26,9,F1051
569,Koulaak,2022-06-21,11:00:00,39,16,23,F1051
569,Koulaak,2022-06-21,12:00:00,41,16,25,F1051
569,Koulaak,2022-06-21,13:00:00,79,46,33,F1051
569,Koulaak,2022-06-21,14:00:00,132,60,72,F1051
569,Koulaak,2022-06-21,15:00:00,96,56,40,F1051
569,Koulaak,2022-06-21,16:00:00,45,27,18,F1051
569,Koulaak,2022-06-21,17:00:00,38,25,13,F1051
569,Koulaak,2022-06-21,18:00:00,44,27,17,F1051
569,Koulaak,2022-06-21,19:00:00,22,10,12,F1051
569,Koulaak,2022-06-21,20:00:00,15,10,5,F1051
569,Koulaak,2022-06-21,21:00:00,15,6,9,F1051
569,Koulaak,2022-06-21,22:00:00,7,6,1,F1051
569,Koulaak,2022-06-21,23:00:00,0,0,0,F1051
569,Koulaak,2022-06-22,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-22,01:00:00,0,0,0,F1051
569,Koulaak,2022-06-22,02:00:00,1,1,0,F1051
569,Koulaak,2022-06-22,03:00:00,0,0,0,F1051
569,Koulaak,2022-06-22,04:00:00,1,1,0,F1051
569,Koulaak,2022-06-22,05:00:00,11,4,7,F1051
569,Koulaak,2022-06-22,06:00:00,22,12,10,F1051
569,Koulaak,2022-06-22,07:00:00,38,16,22,F1051
569,Koulaak,2022-06-22,08:00:00,35,21,14,F1051
569,Koulaak,2022-06-22,09:00:00,27,15,12,F1051
569,Koulaak,2022-06-22,10:00:00,52,39,13,F1051
569,Koulaak,2022-06-22,11:00:00,34,21,13,F1051
569,Koulaak,2022-06-22,12:00:00,53,25,28,F1051
569,Koulaak,2022-06-22,13:00:00,75,43,32,F1051
569,Koulaak,2022-06-22,14:00:00,104,68,36,F1051
569,Koulaak,2022-06-22,15:00:00,81,48,33,F1051
569,Koulaak,2022-06-22,16:00:00,83,42,41,F1051
569,Koulaak,2022-06-22,17:00:00,49,30,19,F1051
569,Koulaak,2022-06-22,18:00:00,50,26,24,F1051
569,Koulaak,2022-06-22,19:00:00,51,28,23,F1051
569,Koulaak,2022-06-22,20:00:00,39,23,16,F1051
569,Koulaak,2022-06-22,21:00:00,41,20,21,F1051
569,Koulaak,2022-06-22,22:00:00,11,8,3,F1051
569,Koulaak,2022-06-22,23:00:00,1,0,1,F1051
569,Koulaak,2022-06-23,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-23,01:00:00,0,0,0,F1051
569,Koulaak,2022-06-23,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-23,03:00:00,0,0,0,F1051
569,Koulaak,2022-06-23,04:00:00,2,0,2,F1051
569,Koulaak,2022-06-23,05:00:00,7,1,6,F1051
569,Koulaak,2022-06-23,06:00:00,27,12,15,F1051
569,Koulaak,2022-06-23,07:00:00,43,25,18,F1051
569,Koulaak,2022-06-23,08:00:00,28,16,12,F1051
569,Koulaak,2022-06-23,09:00:00,26,11,15,F1051
569,Koulaak,2022-06-23,10:00:00,65,49,16,F1051
569,Koulaak,2022-06-23,11:00:00,47,33,14,F1051
569,Koulaak,2022-06-23,12:00:00,33,21,12,F1051
569,Koulaak,2022-06-23,13:00:00,84,30,54,F1051
569,Koulaak,2022-06-23,14:00:00,51,34,17,F1051
569,Koulaak,2022-06-23,15:00:00,70,43,27,F1051
569,Koulaak,2022-06-23,16:00:00,66,44,22,F1051
569,Koulaak,2022-06-23,17:00:00,43,22,21,F1051
569,Koulaak,2022-06-23,18:00:00,36,24,12,F1051
569,Koulaak,2022-06-23,19:00:00,23,13,10,F1051
569,Koulaak,2022-06-23,20:00:00,27,10,17,F1051
569,Koulaak,2022-06-23,21:00:00,20,10,10,F1051
569,Koulaak,2022-06-23,22:00:00,13,7,6,F1051
569,Koulaak,2022-06-23,23:00:00,2,1,1,F1051
569,Koulaak,2022-06-24,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-24,01:00:00,1,1,0,F1051
569,Koulaak,2022-06-24,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-24,03:00:00,0,0,0,F1051
569,Koulaak,2022-06-24,04:00:00,2,1,1,F1051
569,Koulaak,2022-06-24,05:00:00,5,3,2,F1051
569,Koulaak,2022-06-24,06:00:00,13,9,4,F1051
569,Koulaak,2022-06-24,07:00:00,11,7,4,F1051
569,Koulaak,2022-06-24,08:00:00,6,2,4,F1051
569,Koulaak,2022-06-24,09:00:00,16,9,7,F1051
569,Koulaak,2022-06-24,10:00:00,20,13,7,F1051
569,Koulaak,2022-06-24,11:00:00,18,6,12,F1051
569,Koulaak,2022-06-24,12:00:00,9,6,3,F1051
569,Koulaak,2022-06-24,13:00:00,21,12,9,F1051
569,Koulaak,2022-06-24,14:00:00,35,12,23,F1051
569,Koulaak,2022-06-24,15:00:00,38,16,22,F1051
569,Koulaak,2022-06-24,16:00:00,31,23,8,F1051
569,Koulaak,2022-06-24,17:00:00,15,6,9,F1051
569,Koulaak,2022-06-24,18:00:00,8,6,2,F1051
569,Koulaak,2022-06-24,19:00:00,7,3,4,F1051
569,Koulaak,2022-06-24,20:00:00,3,1,2,F1051
569,Koulaak,2022-06-24,21:00:00,8,5,3,F1051
569,Koulaak,2022-06-24,22:00:00,7,6,1,F1051
569,Koulaak,2022-06-24,23:00:00,1,0,1,F1051
569,Koulaak,2022-06-25,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-25,01:00:00,1,1,0,F1051
569,Koulaak,2022-06-25,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-25,03:00:00,0,0,0,F1051
569,Koulaak,2022-06-25,04:00:00,1,1,0,F1051
569,Koulaak,2022-06-25,05:00:00,4,2,2,F1051
569,Koulaak,2022-06-25,06:00:00,3,2,1,F1051
569,Koulaak,2022-06-25,07:00:00,5,2,3,F1051
569,Koulaak,2022-06-25,08:00:00,5,2,3,F1051
569,Koulaak,2022-06-25,09:00:00,14,8,6,F1051
569,Koulaak,2022-06-25,10:00:00,22,13,9,F1051
569,Koulaak,2022-06-25,11:00:00,24,20,4,F1051
569,Koulaak,2022-06-25,12:00:00,17,11,6,F1051
569,Koulaak,2022-06-25,13:00:00,56,36,20,F1051
569,Koulaak,2022-06-25,14:00:00,42,25,17,F1051
569,Koulaak,2022-06-25,15:00:00,52,33,19,F1051
569,Koulaak,2022-06-25,16:00:00,23,10,13,F1051
569,Koulaak,2022-06-25,17:00:00,21,11,10,F1051
569,Koulaak,2022-06-25,18:00:00,2,2,0,F1051
569,Koulaak,2022-06-25,19:00:00,10,4,6,F1051
569,Koulaak,2022-06-25,20:00:00,3,1,2,F1051
569,Koulaak,2022-06-25,21:00:00,5,2,3,F1051
569,Koulaak,2022-06-25,22:00:00,1,0,1,F1051
569,Koulaak,2022-06-25,23:00:00,2,2,0,F1051
569,Koulaak,2022-06-26,00:00:00,8,6,2,F1051
569,Koulaak,2022-06-26,01:00:00,0,0,0,F1051
569,Koulaak,2022-06-26,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-26,03:00:00,2,0,2,F1051
569,Koulaak,2022-06-26,04:00:00,0,0,0,F1051
569,Koulaak,2022-06-26,05:00:00,6,3,3,F1051
569,Koulaak,2022-06-26,06:00:00,4,4,0,F1051
569,Koulaak,2022-06-26,07:00:00,3,2,1,F1051
569,Koulaak,2022-06-26,08:00:00,20,17,3,F1051
569,Koulaak,2022-06-26,09:00:00,51,30,21,F1051
569,Koulaak,2022-06-26,10:00:00,48,31,17,F1051
569,Koulaak,2022-06-26,11:00:00,50,23,27,F1051
569,Koulaak,2022-06-26,12:00:00,33,16,17,F1051
569,Koulaak,2022-06-26,13:00:00,60,36,24,F1051
569,Koulaak,2022-06-26,14:00:00,111,60,51,F1051
569,Koulaak,2022-06-26,15:00:00,79,50,29,F1051
569,Koulaak,2022-06-26,16:00:00,58,34,24,F1051
569,Koulaak,2022-06-26,17:00:00,60,35,25,F1051
569,Koulaak,2022-06-26,18:00:00,25,15,10,F1051
569,Koulaak,2022-06-26,19:00:00,14,8,6,F1051
569,Koulaak,2022-06-26,20:00:00,11,6,5,F1051
569,Koulaak,2022-06-26,21:00:00,8,4,4,F1051
569,Koulaak,2022-06-26,22:00:00,10,8,2,F1051
569,Koulaak,2022-06-26,23:00:00,0,0,0,F1051
569,Koulaak,2022-06-27,00:00:00,1,1,0,F1051
569,Koulaak,2022-06-27,01:00:00,2,0,2,F1051
569,Koulaak,2022-06-27,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-27,03:00:00,1,0,1,F1051
569,Koulaak,2022-06-27,04:00:00,2,1,1,F1051
569,Koulaak,2022-06-27,05:00:00,8,2,6,F1051
569,Koulaak,2022-06-27,06:00:00,17,7,10,F1051
569,Koulaak,2022-06-27,07:00:00,39,20,19,F1051
569,Koulaak,2022-06-27,08:00:00,26,16,10,F1051
569,Koulaak,2022-06-27,09:00:00,15,9,6,F1051
569,Koulaak,2022-06-27,10:00:00,16,8,8,F1051
569,Koulaak,2022-06-27,11:00:00,21,16,5,F1051
569,Koulaak,2022-06-27,12:00:00,13,5,8,F1051
569,Koulaak,2022-06-27,13:00:00,16,9,7,F1051
569,Koulaak,2022-06-27,14:00:00,8,5,3,F1051
569,Koulaak,2022-06-27,15:00:00,20,8,12,F1051
569,Koulaak,2022-06-27,16:00:00,36,20,16,F1051
569,Koulaak,2022-06-27,17:00:00,28,13,15,F1051
569,Koulaak,2022-06-27,18:00:00,31,21,10,F1051
569,Koulaak,2022-06-27,19:00:00,35,20,15,F1051
569,Koulaak,2022-06-27,20:00:00,10,6,4,F1051
569,Koulaak,2022-06-27,21:00:00,16,6,10,F1051
569,Koulaak,2022-06-27,22:00:00,11,6,5,F1051
569,Koulaak,2022-06-27,23:00:00,1,1,0,F1051
569,Koulaak,2022-06-28,00:00:00,0,0,0,F1051
569,Koulaak,2022-06-28,01:00:00,0,0,0,F1051
569,Koulaak,2022-06-28,02:00:00,0,0,0,F1051
569,Koulaak,2022-06-28,03:00:00,1,0,1,F1051
569,Koulaak,2022-06-28,04:00:00,2,1,1,F1051
569,Koulaak,2022-06-28,05:00:00,9,2,7,F1051
