Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
66,Bergstraat 71,2018-07-12,00:00:00,2,2,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,01:00:00,2,2,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,02:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,03:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,04:00:00,2,2,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,05:00:00,10,6,4,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,06:00:00,28,8,20,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,07:00:00,62,30,32,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,08:00:00,46,18,28,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,09:00:00,66,20,46,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,10:00:00,92,30,62,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,11:00:00,86,42,44,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,12:00:00,138,68,70,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,13:00:00,192,80,112,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,14:00:00,196,108,88,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,15:00:00,190,106,84,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,16:00:00,174,112,62,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,17:00:00,128,84,44,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,18:00:00,128,62,66,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,19:00:00,112,48,64,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,20:00:00,86,34,52,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,21:00:00,52,30,22,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,22:00:00,30,22,8,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-12,23:00:00,6,6,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,00:00:00,6,4,2,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,01:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,02:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,03:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,04:00:00,2,2,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,05:00:00,16,6,10,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,06:00:00,30,10,20,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,07:00:00,48,16,32,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,08:00:00,30,20,10,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,09:00:00,52,20,32,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,10:00:00,74,28,46,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,11:00:00,106,62,44,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,12:00:00,136,72,64,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,13:00:00,128,50,78,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,14:00:00,160,82,78,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,15:00:00,202,132,70,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,16:00:00,156,84,72,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,17:00:00,170,98,72,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,18:00:00,126,56,70,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,19:00:00,84,48,36,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,20:00:00,82,44,38,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,21:00:00,52,26,26,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,22:00:00,22,8,14,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-13,23:00:00,10,10,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,00:00:00,8,6,2,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,01:00:00,6,4,2,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,02:00:00,14,14,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,03:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,04:00:00,2,0,2,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,05:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,06:00:00,0,0,0,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,07:00:00,20,6,14,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,08:00:00,48,18,30,FMN GV 11 Ramsel
66,Bergstraat 71,2018-07-14,09:00:00,110,46,64,FMN GV 11 Ramsel
