Meetpunt surrogate key,Meetpunt locatie,Datum,Tijd,Aantal fietsers,Aantal fietsers van,Aantal fietsers naar,Meetpunt code
543,Amedeus Stockmanslei 39,2021-10-08,00:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,01:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,02:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,03:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,04:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,05:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,06:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,07:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,08:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,09:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,10:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,11:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,12:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,13:00:00,0,0,0,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,14:00:00,238,130,108,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,15:00:00,340,200,140,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,16:00:00,427,281,146,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,17:00:00,422,265,157,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,18:00:00,319,191,128,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,19:00:00,176,83,93,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,20:00:00,158,88,70,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,21:00:00,85,49,36,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,22:00:00,105,77,28,MOR02
543,Amedeus Stockmanslei 39,2021-10-08,23:00:00,68,55,13,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,00:00:00,61,28,33,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,01:00:00,54,26,28,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,02:00:00,32,23,9,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,03:00:00,30,17,13,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,04:00:00,18,13,5,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,05:00:00,17,12,5,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,06:00:00,30,15,15,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,07:00:00,40,22,18,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,08:00:00,73,30,43,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,09:00:00,140,72,68,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,10:00:00,184,98,86,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,11:00:00,183,85,98,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,12:00:00,211,104,107,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,13:00:00,288,132,156,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,14:00:00,338,138,200,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,15:00:00,322,154,168,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,16:00:00,267,149,118,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,17:00:00,286,175,111,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,18:00:00,254,143,111,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,19:00:00,173,92,81,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,20:00:00,94,49,45,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,21:00:00,53,29,24,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,22:00:00,69,38,31,MOR02
543,Amedeus Stockmanslei 39,2021-10-09,23:00:00,56,41,15,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,00:00:00,76,42,34,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,01:00:00,35,26,9,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,02:00:00,33,24,9,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,03:00:00,16,12,4,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,04:00:00,14,7,7,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,05:00:00,20,8,12,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,06:00:00,28,14,14,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,07:00:00,28,14,14,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,08:00:00,55,30,25,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,09:00:00,160,81,79,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,10:00:00,143,73,70,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,11:00:00,205,85,120,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,12:00:00,242,86,156,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,13:00:00,311,125,186,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,14:00:00,275,107,168,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,15:00:00,253,145,108,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,16:00:00,309,205,104,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,17:00:00,305,178,127,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,18:00:00,187,108,79,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,19:00:00,111,43,68,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,20:00:00,57,33,24,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,21:00:00,49,25,24,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,22:00:00,30,23,7,MOR02
543,Amedeus Stockmanslei 39,2021-10-10,23:00:00,20,11,9,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,00:00:00,9,7,2,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,01:00:00,2,1,1,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,02:00:00,4,2,2,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,03:00:00,3,2,1,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,04:00:00,14,6,8,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,05:00:00,33,16,17,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,06:00:00,111,27,84,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,07:00:00,402,108,294,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,08:00:00,646,185,461,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,09:00:00,191,50,141,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,10:00:00,107,47,60,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,11:00:00,104,49,55,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,12:00:00,180,90,90,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,13:00:00,136,69,67,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,14:00:00,132,69,63,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,15:00:00,272,151,121,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,16:00:00,423,300,123,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,17:00:00,452,334,118,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,18:00:00,304,217,87,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,19:00:00,161,94,67,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,20:00:00,83,41,42,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,21:00:00,69,38,31,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,22:00:00,78,47,31,MOR02
543,Amedeus Stockmanslei 39,2021-10-11,23:00:00,19,13,6,MOR02
